turn_id,meeting_id,speaker_id,next_speaker_id,utterance_text,pause_duration_ms,speech_duration_ms,num_words,last_token,ends_with_punctuation,has_question_word,syntactic_completeness_score,is_backchannel,is_interruption,label_end_of_turn,source_corpus,label_source
ami_000001,EN2001a,A,E,Does anyone want to see uh Steve's feedback from the specification ?,1240,4439,11,specification,1,1,0.92,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000002,EN2001a,E,A,much more in it than he d Is there much more in it than he said yesterday ?,640,3730,17,yesterday,1,1,1.0,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000003,EN2001a,A,E,"Right . Not really , um just what he's talking about , like duplication of effort and",1250,6820,14,and,0,0,0.1,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000004,EN2001a,E,A,d Is there much more in it than he said yesterday ? Mm . Hmm . Hmm ?,649,9440,14,hmm,1,1,1.0,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000005,EN2001a,D,A,Next week .,210,629,2,week,1,0,0.8,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000006,EN2001a,A,A,"maybe uh think about having a prototype for week six , which is next week . Yeah .",2190,6219,15,yeah,1,0,0.8,0,0,0,AMI Meeting Corpus,proxy_next_speaker_change
ami_000007,EN2001a,A,E,"week six , which is next week . Yeah . So we should probably prioritize our packages .",589,10520,14,packages,1,0,0.8,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000008,EN2001a,E,E,"soon as we have that , uh probably like after today's meeting , we then actually need to",1709,3170,16,to,0,0,0.1,0,0,0,AMI Meeting Corpus,proxy_next_speaker_change
ami_000009,EN2001a,E,E,NITE X_M_L_ offers us . And then just sort of everyone make sure everyone understand the interface .,2460,6810,18,interface,1,0,0.8,0,0,0,AMI Meeting Corpus,proxy_next_speaker_change
ami_000010,EN2001a,E,A,"is how everyone can access it , and then we should be able to go from there .",409,5599,16,there,1,1,1.0,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000011,EN2001a,A,E,"Yeah , I think so .",469,719,4,so,1,0,0.72,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000012,EN2001a,E,C,Hmm ? Yeah .,789,3049,2,yeah,1,1,0.92,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000013,EN2001a,C,E,might not be if we want to wait what the user has typed in into the search .,419,4660,17,search,1,0,0.88,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000014,EN2001a,E,D,Okay . Okay .,620,3070,2,okay,1,0,0.8,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000015,EN2001a,D,E,"on-line . But it won't be very um processor intensive or memory intensive , I don't think .",530,5409,15,think,1,0,0.8,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000016,EN2001a,E,E,"mainly while it's running just working on data that's just loaded from a file , I guess .",1759,4580,16,guess,1,0,0.88,0,0,0,AMI Meeting Corpus,proxy_next_speaker_change
ami_000017,EN2001a,A,E,"don't know about the search functionality , that might be online . Depends how it's gonna work .",379,4759,15,work,1,0,0.88,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000018,EN2001a,E,D,at on-line time at all it seems . Nobody's making any changes to the actual data on-line .,1740,4850,16,on-line,1,0,0.88,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000019,EN2001a,D,E,go for dumping it into a database ? Are we still gonna dump it into a database ?,519,4100,16,database,1,1,0.92,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000020,EN2001a,E,D,"Well some parts relevant for the search , yes . I'd say so .",379,3709,11,so,1,0,0.8,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000021,EN2001a,D,E,reckon we should all read our classes out of the database . It'll be so much easier .,549,4160,16,easier,1,0,0.8,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000022,EN2001a,D,E,even have to worry that much about the underlying X_M_L_ representation . We can just query it .,1360,5459,18,it,1,0,0.88,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000023,EN2001a,E,E,", but nobody of us is doing much of searching from the data in the on-line stage .",1670,3649,16,stage,1,0,0.88,0,0,0,AMI Meeting Corpus,proxy_next_speaker_change
ami_000024,EN2001a,E,D,"that we're doing apart from the search , it seems that everyone needs some special representations anyway .",810,5310,16,anyway,1,0,0.8,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000025,EN2001a,D,E,"gonna do that , we should try and store everything in in an X_M_L_ format as well .",1250,4879,18,well,1,0,0.8,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000026,EN2001a,E,D,"with their time stamps and stuff , so that it's easy to to tie together st things .",269,3730,16,things,1,0,0.8,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000027,EN2001a,E,E,"individual segments , that means sort of we have multiple levels of of representation , which we probably",1459,5910,16,probably,0,0,0.45,0,0,0,AMI Meeting Corpus,proxy_next_speaker_change
ami_000028,EN2001a,E,E,"meeting se series so that a summary for a meeting within the meeting series , are sort of",1910,3659,17,of,0,0,0.45,0,0,0,AMI Meeting Corpus,proxy_next_speaker_change
ami_000029,EN2001a,D,B,load in a information density for every utterance . And we can just summarise based on that .,759,6050,16,that,1,0,0.45,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000030,EN2001a,B,E,"And depending on what our um zoom level is , we just display a part of it .",759,6110,16,it,1,0,0.8,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000031,EN2001a,E,B,So are we doing that at all levels ? Are we um,300,2309,11,um,0,1,0.57,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000032,EN2001a,E,B,And just have different like fine-grainedness levels sort of .,759,3410,9,of,1,0,0.8,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000033,EN2001a,E,B,changes . Like the th the start and the end position changes and the zoom level changes .,410,4549,16,changes,1,0,0.8,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000034,EN2001a,B,E,"That was what I sh I thought , yeah . I thought .",200,2959,10,thought,1,0,0.88,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000035,EN2001a,E,E,under the impression that we couldn't do that because we couldn't load the data for all that .,2049,3269,17,that,1,0,0.53,0,0,0,AMI Meeting Corpus,proxy_next_speaker_change
ami_000036,EN2001a,E,A,"because we couldn't load the data for all that . But I don't know , I mean that",1059,4940,16,that,0,0,0.1,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000037,EN2001a,D,E,"what you're really doing is sorting a list , is the p computationally hard part of it .",1889,5530,16,it,1,1,0.92,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000038,EN2001a,D,E,"then extract them . I don't think it's too slow to do on-line , to be honest .",629,4280,15,honest,1,0,0.88,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000039,EN2001a,E,E,. Yeah . Yeah . Yeah . So what we have is we would have a word .,1850,6110,13,word,1,0,0.8,0,0,0,AMI Meeting Corpus,proxy_next_speaker_change
ami_000040,EN2001a,E,D,taking out the words with the highest priority and then the words of the second highest priority ?,389,3350,17,priority,1,1,1.0,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000041,EN2001a,E,D,the highest priority and then the words of the second highest priority ? And the u okay .,379,5789,16,okay,1,1,1.0,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000042,EN2001a,D,E,you've got no way of getting in and extracting just that word . I mean it's impossible .,649,4419,16,impossible,1,0,0.8,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000043,EN2001a,B,D,"and the skimming ? I mean , do we do both or is it the same thing ?",660,4319,15,thing,1,1,0.92,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000044,EN2001a,D,E,Well the skimming's gonna use the importance .,409,2179,7,importance,1,0,0.8,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000045,EN2001a,D,B,Well the skimming's gonna use the importance . But like at first it's just gonna be I_D_F_ .,569,6759,18,f,1,0,0.8,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000046,EN2001a,D,E,"Well mostly skimming , yeah .",450,1279,4,yeah,1,0,0.72,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000047,EN2001a,E,E,"a summarised version in you know , like below the below the graph , the part . Maybe",1960,6360,15,maybe,0,0,0.1,0,0,0,AMI Meeting Corpus,proxy_next_speaker_change
ami_000048,EN2001a,E,B,"know , like below the below the graph , the part . Maybe Yeah , r Hmm ?",230,8559,13,hmm,1,1,0.92,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000049,EN2001a,B,E,"Yeah , but it use the same data .",1179,1610,7,data,1,0,0.88,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000050,EN2001a,E,D,even store the importance levels for individual words and just sort of rank utterances as a whole .,299,6040,17,whole,1,0,0.8,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000051,EN2001a,E,C,sort of make the mean of the words over the utterance . You know what I mean ?,460,2710,16,mean,1,1,0.57,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000052,EN2001a,C,E,"not quite so what it did you want to do it , i you just wanted to assign",550,4619,17,assign,0,0,0.45,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000053,EN2001a,E,C,"of of assigning an importance measure to , is it a word or is it an utterance ?",419,3610,16,utterance,1,1,1.0,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000054,EN2001a,C,E,Uh I thought about words .,740,1460,5,words,1,0,0.8,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000055,EN2001a,E,E,So we're thinking of like maybe just storing it on a per utterance level .,2259,4840,14,level,1,0,0.8,0,0,0,AMI Meeting Corpus,proxy_next_speaker_change
ami_000056,EN2001a,E,D,yeah . Because that makes it a lot easier than to t put it on utterance level .,759,2800,16,level,1,0,0.88,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000057,EN2001a,C,E,"words which don't carry any meaning at all , the um and uhs and something like that .",2309,5389,16,that,1,0,0.45,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000058,EN2001a,D,C,I think we should filter them .,230,1430,6,them,1,0,0.88,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
ami_000059,EN2001a,C,D,"in there , but quite important words as well , I think we should just disregard the the",259,6759,16,the,0,0,0.45,0,0,1,AMI Meeting Corpus,proxy_next_speaker_change
