turn_id,utterance_text,pause_duration_ms,speech_duration_ms,num_words,last_token,ends_with_punctuation,has_question_word,syntactic_completeness_score,is_backchannel,is_interruption,label_end_of_turn
turn_001,I want to book a flight to,422,1658,7,to,0,0,0.18,0,0,0
turn_002,I want to book a flight to Paris.,941,2386,8,paris,1,0,0.88,0,0,1
turn_003,Can you help me with my visa application?,782,2178,8,application,1,1,1.0,0,0,1
turn_004,Because I was thinking that maybe,397,1484,6,maybe,0,0,0.18,0,0,0
turn_005,Yeah.,633,409,1,yeah,1,0,1.0,1,0,1
turn_006,"Wait, I mean",204,799,3,mean,0,0,0.02,0,0,0
turn_007,I need to change my appointment from Tuesday to,424,2599,9,to,0,0,0.18,0,0,0
turn_008,I need to change my appointment from Tuesday to Friday.,922,3291,10,friday,1,0,0.88,0,0,1
turn_009,What time does the last train leave?,787,1757,7,leave,1,1,1.0,0,0,1
turn_010,What time does the last train,381,1293,6,train,0,1,0.65,0,0,0
turn_011,Okay.,761,288,1,okay,1,0,1.0,1,0,1
turn_012,Right,455,274,1,right,0,0,0.7,1,0,1
turn_013,Well I was hoping you could,271,1457,6,could,0,0,0.45,0,0,0
turn_014,Could you send the confirmation by email?,1021,2060,7,email,1,1,1.0,0,0,1
turn_015,Could you send the confirmation by,449,1435,6,by,0,1,0.65,0,0,0
turn_016,I am looking for a quiet hotel near the station.,1187,3369,10,station,1,0,0.88,0,0,1
turn_017,I am looking for a quiet hotel near,471,2092,8,near,0,0,0.53,0,0,0
turn_018,"No, that's not what I meant.",846,1421,6,meant,1,0,0.8,0,0,1
turn_019,"No, that's not",312,704,3,not,0,0,0.45,0,0,0
turn_020,Um I think the reference number is,294,1917,7,is,0,0,0.45,0,0,0
turn_021,The reference number is A five three nine.,856,2518,8,nine,1,0,0.8,0,0,1
turn_022,Actually could you check another date?,760,1806,6,date,1,1,1.0,0,0,1
turn_023,Actually could you check another,408,1343,5,another,0,0,0.53,0,0,0
turn_024,I live in Barcelona but I am moving to,406,2316,9,to,0,0,0.18,0,0,0
